City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Mar Del Plata,AR,84.2,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
5,Port-Gentil,GA,84.2,scattered clouds,-0.7193,8.7815,Fengshui Residence
9,Porto Walter,BR,75.06,light rain,-8.2686,-72.7439,Secretaria de saúde
10,Atuona,PF,77.67,light rain,-9.8,-139.0333,Villa Enata
15,Souillac,MU,82.4,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
16,Mozarlandia,BR,89.28,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
18,Sinnamary,GF,79.38,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
19,Bredasdorp,ZA,78.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
20,Bathsheba,BB,82.4,scattered clouds,13.2167,-59.5167,Atlantis Hotel
24,Mahebourg,MU,82.4,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Bilma,NE,78.62,clear sky,18.6853,12.9164,Expeditions Ténére voyages
28,Rikitea,PF,78.19,few clouds,-23.1203,-134.9692,Pension Maro'i
32,Butaritari,KI,78.85,few clouds,3.0707,172.7902,Isles Sunset Lodge
37,Bambanglipuro,ID,78.94,overcast clouds,-7.95,110.2833,Puri Brata
41,Gamba,GA,80.47,light rain,-2.65,10.0,
42,Yeppoon,AU,75.2,clear sky,-23.1333,150.7333,Villa Mar Colina
43,Vaini,TO,75.2,moderate rain,-21.2,-175.2,Keleti Beach Resort
44,Itai,BR,81.75,overcast clouds,-23.4178,-49.0906,HOTEL TRIANGULO
45,Kariba,ZW,80.62,light rain,-16.5167,28.8,Caribbea Bay Hotel
47,Mount Isa,AU,80.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
50,Kruisfontein,ZA,79.0,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
56,Pitimbu,BR,86.0,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
58,Mendoza,AR,82.4,clear sky,-32.8908,-68.8272,Hotel Mendoza
69,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
74,Saint-Joseph,RE,84.2,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
76,Hermanus,ZA,75.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
77,Puerto Ayora,EC,75.0,broken clouds,-0.7393,-90.3518,Castillo Galapagos
80,Port Hedland,AU,86.0,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
85,Lumphat,KH,76.71,broken clouds,13.4878,106.9816,Lumphat Homestay
100,Mushie,CD,86.05,overcast clouds,-3.0167,16.9,
102,Kaduqli,SD,81.32,overcast clouds,11.0167,29.7167,فندق الله جابو
103,Rondonopolis,BR,89.71,broken clouds,-16.4708,-54.6356,Serras Hotel
104,Bengkulu,ID,78.48,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
105,Catuday,PH,77.23,overcast clouds,16.2923,119.8062,GResort
108,Carnarvon,AU,77.0,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
117,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
118,Arraial Do Cabo,BR,87.8,few clouds,-22.9661,-42.0278,Pousada Porto Praia
121,Touros,BR,86.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
123,Presidencia Roque Saenz Pena,AR,88.0,few clouds,-26.7852,-60.4388,Hotel Gualok
127,Richards Bay,ZA,87.91,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
129,Palu,ID,76.62,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
131,Saint-Pierre,RE,84.2,few clouds,-21.3393,55.4781,Lindsey Hôtel
135,Saldanha,ZA,77.0,clear sky,-33.0117,17.9442,Blue Bay Lodge
139,Buala,SB,78.84,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
141,Umm Lajj,SA,75.38,clear sky,25.0213,37.2685,Moon light Furnished Units
142,Iracoubo,GF,79.02,light rain,5.4802,-53.2011,Le Gite D Iracoubo
143,Yulara,AU,77.0,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
153,Phangnga,TH,75.2,few clouds,8.4509,98.5298,Rattanapong Hotel
154,Lorengau,PG,80.71,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
155,Martapura,ID,78.8,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
161,Bintulu,MY,78.8,scattered clouds,3.1667,113.0333,900 Boutique INN
162,Karratha,AU,86.61,few clouds,-20.7377,116.8463,ibis Styles Karratha
164,Bubaque,GW,77.74,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
168,Cidreira,BR,78.55,clear sky,-30.1811,-50.2056,Hotel Castelo
171,Camopi,GF,79.7,scattered clouds,3.1655,-52.3158,
172,Sao Filipe,CV,76.51,overcast clouds,14.8961,-24.4956,Tortuga B&B
173,Padang,ID,78.8,overcast clouds,-0.9492,100.3543,Mercure Padang
175,Goure,NE,82.0,broken clouds,13.9835,10.2704,
178,Nouadhibou,MR,82.4,clear sky,20.930999999999997,-17.0347,El Medina
184,Biak,ID,78.19,overcast clouds,-0.9131,122.8766,Penginapan Kim
185,Hithadhoo,MV,82.99,broken clouds,-0.6,73.0833,Scoop Guest House
187,Bambous Virieux,MU,82.4,scattered clouds,-20.3428,57.7575,Casa Tia Villa
198,Sola,VU,82.06,overcast clouds,-13.8833,167.55,Leumerus Bungalows
199,Elias Fausto,BR,84.2,few clouds,-23.0428,-47.3739,RIBEIRÃO DA MATA
205,Kieta,PG,78.3,broken clouds,-6.2167,155.6333,
212,Puerto Carreno,CO,88.65,broken clouds,6.189,-67.4859,Casa Hotel Victoria
213,Senanga,ZM,75.96,moderate rain,-16.1167,23.2667,Christopher Nasilele House
217,Laguna De Perlas,NI,75.2,light intensity drizzle,12.3429,-83.6712,Hotel Best View
218,Acarau,BR,88.34,scattered clouds,-2.8856,-40.12,castelo pizzaria
219,Tessalit,ML,84.13,clear sky,20.1986,1.0114,
221,Nhulunbuy,AU,77.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
222,Sambava,MG,80.74,light rain,-14.2667,50.1667,Melrose
225,Alice Springs,AU,89.6,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
228,Puerto Baquerizo Moreno,EC,80.6,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
229,Vila Velha,BR,84.0,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
230,Honiara,SB,76.32,overcast clouds,-9.4333,159.95,Heritage Park Hotel
234,Georgetown,MY,80.01,scattered clouds,5.4112,100.3354,Cititel Penang
236,Cuartero,PH,75.25,overcast clouds,11.3407,122.6694,Cantiller Residence
237,Kavieng,PG,81.84,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
238,Port Lincoln,AU,78.62,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
241,Kabinda,CD,80.31,light rain,-6.1333,24.4833,Village Mianda Mutole
244,Labuan,MY,77.0,few clouds,5.2767,115.2417,Tiara Labuan Hotel
248,Boa Vista,BR,80.6,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
253,Namibe,AO,78.8,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
264,Kribi,CM,82.87,overcast clouds,2.95,9.9167,Les Vagues bleues
266,Sao Lourenco Da Serra,BR,82.4,clear sky,-23.8525,-46.9425,Kohlerland
270,Vaitape,PF,79.95,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
274,Cururupu,BR,82.71,moderate rain,-1.8283,-44.8683,Pousada Través'cia
277,Sao Joao Do Piaui,BR,88.29,light rain,-8.3581,-42.2467,Nayra Palace Hotel
278,Dhidhdhoo,MV,82.53,broken clouds,6.8833,73.1,Dhidhoo beach
279,Aden,YE,77.02,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
